课程名称,价格,报名人数,课程进度,课程机构
数据产品经理训练营，4周掌握搭建数据产品系统方法论,5177.22,578,共8节,起点学院
Android进阶之绘制 - 自定义View完全掌握系列一【HenCoder】,0.0,347,共10节,扔物线学堂
珠峰架构前端技术公开课,0.0,159,共5节,珠峰架构学院
2020软考--软件设计师-基础知识实战培训视频,877.22,331,共67节,小任老师
Python从“小白”到“大神”——快速入门全栈工程师,0.0,816,共46节,誉天教育
Web前端小程序/HTML5/CSS/JS/jQuery/Vue[千锋],0.0,353,共10节,扣丁学堂
太阁闫辉XCNA网络认证VIP班,76.22,146,随到随学,太阁IT认证中心
【免费】春招秋招 Linux C/C++开发就业课程【零声学院】,0.0,385,共5节,零声学院
【邹SIR主讲】云计算实战之企业云迁移,0.0,352,进度：10/10节,誉天教育
creator 0基础就业班+服务器进阶班,762.22,413,共156节,博毅创为大学堂
【训练营】Vlog抖音电商引流|自媒体淘宝短视频|头条号百家号赚钱,0.0,838,共1节,泛学苑自媒体
C语言零基础入门到项目实战,0.0,5552,共56节,顿开教育
Python零基础入门精讲,86.22,5849,共14节,学神IT教育
synchronized原理分析【鲁班学院】,0.0,558,共3节,鲁班学院
软件成熟度模型,3.22,2,共1节,松勤软件测试
C/C++ Linux服务器开发/高级架构师课程【动脑学院】,9762.22,1,进度：6/14节,动脑学院
PHP全栈工程师体验班【六星教育】,5.22,366,共12节,六星教育
测试工程师加分工具-Jenkins,2.23,535,共2节,松勤软件测试
六IE讲师教您三个月考过CCIE+HCIE,50922.0,5951,开设4个班级,太阁IT认证中心
【精品推荐】16年专业培训-CCNA学习指南,0.0,3,共4节,SPOTO思博网络
JavaVIP体验课-Dubbo源码分析【六星教育】,5.22,522,共1节,六星教育
自动化+性能录播打包,4362.22,2,课程2,乐搏技术学院
一节课讲解小程序测试思维,2.23,74,共1节,松勤软件测试
用友U8-生产制造系列,332.22,5,课程5,万晓明
代码小白也能学会的python接口自动化测试,2.23,513,共5节,松勤软件测试
吴光科2019——Linux系统下LAMP技术实战,0.0,4,共1节,京峰教育
【严选课程】CCIE课 CISCO思科认证网络工程师,52622.0,190,共37节,SPOTO思博网络
吴光科—运维小白必备技能,0.0,4,共3节,京峰教育
软件测试工作中常用的测试工具,2.23,77,共3节,松勤软件测试
吴光科2019—Linux高级运维高薪技能讲解,0.0,1,共1节,京峰教育
小程序商城毕业设计课,677.22,0,课程3,黄菊华
软件测试职业规划/简历编写/真题讲解,2.23,510,共9节,松勤软件测试
企业Linux运维自动化实战,0.0,53,共7节,京峰教育
微信小程序商城前端+asp版网站后台和接口开发,677.22,0,课程3,黄菊华
Linux高级运维/云计算/centos7/zabbix/架构/集群/监控/服务/学神,0.0,11,共1节,学神IT教育
C/C++数据结构算法设计,5.22,2,共9节,六星教育
java阶段三四-vip组合,8822.22,36,课程4,拓薪教育
Linux运维架构/云计算/centos7/iptables防火墙/服务器安全/学神,0.0,10,共1节,学神IT教育
Linux高级运维/云计算/centos7/docker/架构/集群/存储/调优/学神,0.0,45,共2节,学神IT教育
python 自动化运维零基础入门+实战,596.22,8288,共9节,学神IT教育
吴光科—Linux运维技巧杂谈系列,0.0,8,共1节,京峰教育
抖音运营百科：抖音笑100分在哪里_抖音怎么笑到100分,0.0,0,共1节,微客教育
iOS大神班合辑,77.22,356,课程8,小码哥教育
抖音运营百科：抖音长视频怎么发布，抖音长视频怎么拍,0.0,6,共1节,微客教育
Python测试开发第2期,53622.0,80,课程2,柠檬班
抖音运营百科：看抖音怎么快进 抖音怎么快进后退,0.0,4,共1节,微客教育
WEB前端与移动端全栈开发-基础篇：HTML5+CSS3+实战案例,77.22,965,共56节,云艺帆教育
抖音运营百科：抖音自动卡点视频怎么做，抖音卡点照片怎么弄,0.0,4,共1节,微客教育
Java高薪班培训,4072.22,56,课程2,拓薪教育
互联网创业项目微商引流吸粉网赚卖货微商营销精准吸粉微信营销,0.0,7,共1节,微客教育
AutoCAD/C#零基础到项目实战公开课,0.0,71,共21节,朝夕教育
"抖音怎么拍长视频,抖音怎么传长视频教程",0.0,1,共1节,微客教育
Java架构师培养计划-Level two,177.22,384,随到随学,渡一教育
宝妈兼职互联网创业微商淘宝客引流网络赚钱自媒体引流微信营销,0.0,50,共4节,微客教育
【扔物线/Android】HTTPS 为什么是安全的,0.0,550,共2节,扔物线学堂
抖音的抖动特效怎么弄 抖音抖动特效教程,0.0,7,共1节,微客教育
Jvm虚拟机原理分析 【源码学院】     只为培养BAT程序员而生,0.0,559,共6节,源码学院
"全面剖析MySQL索引/锁的机制原理Java高级,java架构师进阶_咕泡",966.22,8261,进度：2/2节,咕泡教育
【邹SIR精讲】誉天云计算Docker精华课程,0.0,8,进度：6/6节,誉天教育
Springboot源码深入分析 【源码学院】 只为培养BAT程序员而生,0.0,599,共7节,源码学院
JavaEE就业班（第五阶段）,1662.22,599,共17节,柠檬学院
【公开课】华为大数据认证之Hadoop入门公开课,0.0,90,共4节,誉天教育
高可用集群环境kafka环境搭建【免费学习】,0.0,582,共8节,每特教育
RHCSA-RHCE红帽官方授权认证考试-考前辅导（含考试费）,1472.22,848,进度：16/16节,学神IT教育
抖音Vlog带货|电商短视频运营|淘宝客引流|网络推广|种草书单赚钱,0.0,6,共2节,泛学苑自媒体
ELK打造分布式日志收集系统实战【免费学习】,0.0,589,共6节,每特教育
SSH/SSM框架篇,166.22,56,课程4,高新强
SSM框架从入门到实战,0.0,584,共6节,扣丁学堂
Mybatis源码分析   【源码学院】     只为培养BAT程序员而生,0.0,350,共7节,源码学院
java企业级高薪班,4072.22,3,课程3,拓薪教育
自媒体赚钱|百家号批量工作室运营|头条号新媒体短视频原创爆文,0.0,74,共3节,泛学苑自媒体
名师带你快速入门测试—jmeter性能测试实战课,0.0,11,共1节,博为峰网校在线教育
哈米在线音乐Java互联网实战项目教程,5677.22,502,共48节,拓薪教育
Web安全/web渗透/kali/网络安全/入侵防御/渗透测试/信息安全/,0.0,64,共6节,安迹web渗透测试
Java专家架构师VIP试听课 互联网/分布式/微服务/高并发/性能优化,0.0,510,共35节,粉菜编程学院
PHP高级开发—大神开发专题课程【六星教育】,4662.22,5483,开设2个班级,六星教育
Kickstart自动化运维实战系列,0.0,3,共6节,京峰教育
一毕业就年薪20万的IT互联网岗位推荐,0.0,54,共4节,科迪思
java企业级高薪班,4072.22,79,课程4,拓薪教育
学神IT python运维开发【For老师】试听课,0.0,59,共3节,学神IT教育
java企业级就业班,9177.22,5,课程3,拓薪教育
Linux运维架构/云计算/centos7/网络管理/TCP/IP/OSI七层/学神,0.0,1,共1节,学神IT教育
Spring Cloud微服务架构实战【图灵学院】,0.0,334,共5节,图灵学院
Kali安全渗透+Web白帽子高级工程师+黑客攻防-中级课-学神IT,0.0,69,共2节,学神IT教育
30天征服Java系列教程,92.22,30,课程10,北京思无限科技有限责任公司
165天逆袭Web全栈工程师（进阶篇）JS/ES6/JQuery/BootStrap,0.0,814,共91节,职坐标
Java/javaee核心技术实战【软谋教育】,0.0,7,共7节,软谋教育
H5大前端全栈提升VIP就业班直播课（六期）,4362.22,84,进度：11/15节,扣丁学堂
城市空间系列研究直播课,0.0,30,共3节,脉策数据
java就业外包公司该不该去,0.0,32,共1节,拓薪教育
Java高级程序员/微服务/源码解析/分布式/企业级架构【千锋教育】,4362.22,12,随到随学,扣丁学堂
JavaWeb工程师之HTML+CSS基础（柠檬学院）,0.0,34,共7节,柠檬学院
Python/人工智能/零基础就业课,0.0,391,共1节,软谋教育
“60天”SEM竞价网络推广主管VIP实战训练营 【实力提升转化】,3677.22,3457,开设6个班级,魔贝课凡
零基础学Java开发_咕泡,0.0,39,共12节,咕泡教育
BAT面试必备-全网最强Spring IOC容器源码剖析【图灵学院】,0.0,834,共6节,图灵学院
P2【商业级MMORPG大型网游】Unity全栈开发,1666.22,508,共14节,极视教育
Java架构师/微服务/分布式/高并发/性能优化/源码解析,0.0,83,共25节,柠檬学院
PHP开发入门基础/web前端/MySQL/模板引擎/框架,0.0,30,共101节,职坐标
【NEXT学院】Python从入门到实战·完整篇,3777.22,80,共81节,腾讯课堂NEXT学院
Linux运维架构/云计算/centos7/redis主从架构/高可用/学神,0.0,15,共1节,学神IT教育
前端WEB全栈工程师（第三阶段）,812.22,96,随到随学,柠檬学院
CCNA-CCNP-CCIE直通车-网络工程师-思科华为双厂商专家认证,0.0,53,共9节,学神IT教育
【城市数据研习社_大咖讲堂_第三期】刘啸/上海数慧,0.0,8,共1节,脉策数据
前端权威0基础入门 + Web百大项目案例,777.22,8,共10节,渡一教育
【城市数据研习社_大咖讲堂_第二期】龙瀛/BCL,0.0,9,共1节,脉策数据
Python高级开发项目实战班！,0.0,59,共4节,学神IT教育
IntelliJ IDEA入门到精通全攻略【图灵学院】,0.0,803,共6节,图灵学院
Java高级工程师培养计划 第三期 全阶班 【渡一教育】,55776.0,89,课程2,渡一教育
Head老师-零基础学习WEB前端-JavaScript精编-【学神IT教育】,0.0,53,共7节,学神IT教育
【城市数据研习社_大咖讲堂_第五期】刘淼,0.0,0,共1节,脉策数据
javaee企业级高薪班,4072.22,84,课程5,拓薪教育
高级架构师带你-零基础零障碍学习C语言,0.0,300,共20节,动脑学院
零基础Java大数据教程入门篇-【职坐标】,0.0,592,共214节,职坐标
Python语言基础,96.22,5,共28节,柠檬班
30天掌握人工智能开发实用技能 零基础入行物联网,0.0,392,共76节,职坐标
【城市数据研习社_大咖讲堂_第九期】张鸿辉,0.0,8,共1节,脉策数据
高并发分布式系列精华课,577.22,5825,共6节,动脑学院
资深前端手把手用实战教你冲击月薪3万,0.0,480,共19节,京程一灯
Linux运维架构/云计算/centos7/无人值守安装系统/PXE/学神,0.0,2,共1节,学神IT教育
大数据应用实战-spark+hadoop+数据挖掘【图灵学院】,8762.22,370,进度：15/15节,图灵学院
165天逆袭web前端工程师（入门篇）Html/CSS/JS/H5/CS3/入门项目,0.0,116,共22节,职坐标
“金三银四”一线大厂面试专题,3562.22,5232,共22节,享学课堂
我们只培养会Python开发和人工智能的大数据分析师,0.0,68,共37节,职坐标
高性能线程池工作原理【图灵学院】,0.0,308,共3节,图灵学院
Python开发/自动化/网络爬虫/运维/从入门到精通【动脑学院】,0.0,580,共22节,动脑学院
全栈就业班（第一阶段）,222.22,916,共25节,柠檬学院
抖音好友可见是什么意思_抖音好友可见开启方法,0.0,0,共1节,微客教育
开源社区大牛带你征服Dubbo底层原理【鲁班学院】,0.0,13,共4节,鲁班学院
《数据结构和算法》,576.22,2,课程3,蓝桥学院
区块链视频教程①：零基础也能学区块链,0.0,81,共105节,扣丁学堂
C/C++程序员职业技能公开课,0.0,550,共18节,神农技术
零基础企业级就业班,9177.22,88,课程4,拓薪教育
RHCA-RHCE认证考试+红帽官方授权/初级课,0.0,85,共5节,学神IT教育
Java零基础 javase java面向对象 编程题 作业题 java练习题,0.0,38,共4节,拓薪教育
