课程名称,价格,报名人数,课程进度,课程机构
python全栈自动化测试工程师第12-27期【柠檬班VIP】,1462.22,5799,随到随学,柠檬班
Java架构技术/微服务技术/互联网技术/架构师公开课【每特教育】,0.0,892,共4节,每特教育
异步处理——不刷新页面请求数据,0.0,57,共7节,徐照兴
周哥教IT.逆向基础课包,576.22,2,课程20,周哥教IT
微信小程序商城15天从零实战课程（学习版）,0.0,57,共12节,黄菊华
VueCli3全新小白入门教程(基础+实战+vue+fetch+axios+米斯特吴),0.0,998,共32节,米修在线
软件测试从小白到高手全程班【柠檬班】第66-60期,4162.22,163,随到随学,柠檬班
微信小程序框架的制作,0.0,381,共2节,黄菊华
软件测试之python自动化测试2(web自动化+app自动化+接口自动化）,1462.22,5122,随到随学,松勤软件测试
微信小程序、零基础入门、基础语法讲解,0.0,13,共9节,黄菊华
Android移动互联网架构开发,0.0,5403,共20节,享学课堂
.NET Core从入门到高级进阶【软谋教育】,0.0,849,共2节,软谋教育
【智能社】精通vue.js开发-第二期,5976.22,1,课程2,【智能社】在线课堂
Java架构师技术栈/微服务/分布式/高并发/性能优化【六星教育】,0.0,19,共14节,六星教育
JAVA架构师精品课 企业级架构/分布式/高并发/微服务【图灵学院】,0.0,144,共40节,图灵学院
SEO+大咖系列课程包,8777.22,391,课程11,魔贝课凡
JAVA高级开发 架构师课程（高并发 高可用 高扩展）,0.0,3731,共30节,享学课堂
"Java架构师,Java高级|只为培养互联网java架构师【咕泡教育】",0.0,4908,共16节,咕泡教育
【NEXT学位 x IMWeb】Web前端从小白到大师基础课程,3777.22,75,共105节,腾讯课堂NEXT学院
C#/.NET全栈/Core/BS/CS/上位机/WPF/WCF【喜科堂】,0.0,872,共30节,喜科堂互联教育
Python基础编程/爬虫/AI人工智能/数据分析/机器学习【六星教育】,0.0,3441,进度：6/16节,六星教育
Web前端开发高级进阶班【软谋教育】,9077.22,3096,开设2个班级,软谋教育
PHP7开发/web前端/MySQL/THINKPHP/YII2/TP5框架【六星教育】,0.0,5525,进度：28/66节,六星教育
Kali安全渗透+Web白帽子高级工程师+黑客攻防-腾讯课堂认证课程,0.0,629,共19节,学神IT教育
JavaEE高级/javaweb/数据库/ssm框架/maven/linux,8777.22,2,共56节,拓薪教育
MK-Linux高级运维 大师级课程 云计算 mysql数据库 centos7,0.0,163,共25节,学神IT教育
JAVA实战班体验课【软谋教育】,5.22,89,进度：1/1节,软谋教育
iOS 中高级训练营V7.0,6662.22,32,课程5,逻辑教育
【VIP限时体验】50W年薪Java高并发分布式架构课【动脑学院】,0.0,5777,共31节,动脑学院
Python/爬虫/人工智能/TensorFlow/机器学习/Django/图像识别,0.0,5532,共16节,软谋教育
U-Boot和系统移植套餐,829.22,37,课程20,朱有鹏物联网大讲堂
C#/.NET核心语法精讲【软谋教育】,0.0,318,共6节,软谋教育
做抖音电商|抖音短视频PR+AE|网络营销新媒体自媒体淘宝客快手,0.0,755,共6节,魔贝课凡
中高级测试开发「名企定向培养」班-霍格沃兹测试学院,52222.0,831,共47节,霍格沃兹测试学院
项目经理带你-零基础学习C++【奇牛学院】,0.0,5546,共35节,奇牛学院
C#/.Net开发进阶【高级编程/框架进阶/设计优化】,0.0,317,共27节,朝夕教育
前端主管培养计划,9662.22,8,课程5,丰橙学院
ES6标准入门与实战教程,0.0,382,共2节,软谋教育
【VIP限时体验】Android安卓架构跨平台NDK大移动端【动脑学院】,0.0,919,进度：32/36节,动脑学院
网络安全/服务安全/代码安全/渗透测试【千锋教育】,4362.22,36,共82节,扣丁学堂
EF+MVC从入门到实战开发【软谋教育】,0.0,63,共1节,软谋教育
C/C++入门到精通企业级项目实战,0.0,545,共15节,六星教育
【图灵VIP专属课堂】JAVA互联网架构师专题/分布式/高并发/微服务,4662.22,1288,开设2个班级,图灵学院
WOLF实验室CCNA全套经典课程-为零基础、初学者量身打造,0.0,548,共39节,沃尔夫CCIE实验室
Java开发/大数据/微服务/SpringBoot/SSM框架/mysql数据库/分布式,0.0,867,共63节,灵犀教育
软件测试-零基础全栈就业班-【乐搏学院23-31期】,4162.22,897,随到随学,乐搏技术学院
JAVA互联网进阶架构师体验课_成就更有价值的你#【烛光学院】,0.0,5022,共43节,烛光学院
抖音快手短视频|电商引流带货|自媒体运营涨粉赚钱|淘宝客网赚,0.0,134,共4节,泛学苑抖音短视频
TWeb2019线上票（含录播）,577.22,889,课程4,TWeb Conf
不止于就业前端技术|JavaScript底层核心|组件化开发|JS|Vue|Node,0.0,949,共28节,妙思维JS++
Java零基础入门到精通（Spring/Mybatis/数据库/多线程/MVC）,0.0,902,共50节,灵犀教育
JavaVIP-Redis突击训练之入门到疯魔,77.22,10,开设2个班级,六星教育
【精品】抖音快手Vlog引流吸粉自媒体|新媒体赚钱|大鱼号百家号,0.0,393,共2节,榕意新媒体学院
C/C++零基础到精通项目实战,0.0,5049,共95节,顿开教育
泛学苑自媒体新媒体短视频撸收益第八期VIP内容创作全方位进阶班,8576.22,15,共22节,泛学苑自媒体
【免费试听】自媒体|新媒体运营 头条抖音Vlog大鱼百家企鹅号爆文,0.0,978,共5节,榕意新媒体学院
Java架构师VIP课程,4962.22,8320,开设2个班级,鲁班学院
【推荐】新媒体|自媒体|Vlog抖音快手头条大鱼百家企鹅爆文引流,0.0,334,共3节,榕意新媒体学院
Java架构/大数据/Hadoop/Flink/Spark/Python/机器学习【大讲台】,0.0,121,共4节,大讲台
