course_name,course_number,course_organization,course_price,course_status
【摄影】摄影基础实战/郭卫/录播/中艺,拼团,中艺影像,57.62,共20节
X-T1摄影入门到精通,8人购买,FUN视觉  雷波,876.22,课程22
实务+财管通关B班,8人购买,菜子学院,3362.22,课程14
CAD2020软件运用，全套施工图讲解,5881人购买,云学贝教育,9.22,共6节
python自动化+Py全栈+爬虫+Ai=python全能工程师-挑战年薪30万,5281人购买,马哥教育,4362.22,随到随学
Grasshopper 工具组件用法系统课程（合集）,5834人购买,Rhino3D（犀牛）原厂中国/Shaper3d,62.22,共63节
圆锥超级大招：独家心法口诀—高中数学新高考数学高三一轮,388人购买,数学怪,7.72,共1节
Excel Power Query 第2季视频教程 可视化及M函数入门【朱仕平】,998人购买,朱仕平,516.22,共114节
春哥4节超值人体结构干货入门课,5761人购买,飞鱼绘,7.72,共4节
6D2摄影从入门到精通,58人购买,FUN视觉  雷波,876.22,课程22
武百分2020执业/助理医师资格考试运动系统考点精讲,5400人购买,武百分教育,17.22,共11节
国和【路基工程精讲二】路床设计 教材编委郑智能主讲,506人购买,国和网校,5.22,进度：1/1节
【阶段一】前端全栈工程师精英班,64人购买,京程一灯,4662.22,随到随学
国和【桥梁工程精讲之小桥涵】道勘大咖孙家驷老师主讲,541人购买,国和网校,5.22,进度：1/1节
次世代游戏提升班【云普集教育】,102人购买,云普集游戏动漫学院,1362.22,进度：5/5节
【坤哥物理】2020高三二轮三轮系统班 高考直播模拟考,791人购买,蜜蜂优课,3977.22,课程10
【摄影】如何拍人像/田德友/录播/中艺,8667人购买,中艺影像,586.22,共13节
【恩维客教育】VIP室内设计CAD施工图深化高级班,151人购买,恩维客教育,5462.22,开设6个班级
中级实务通关保障B班,594人购买,菜子学院,5362.22,课程5
面向对象C#零基础入门精讲（1）C#开发入门,60人购买,徐照兴,52.22,共7节
马哥Linux高端运维云计算就业班-教学总监老王主讲,5592人购买,马哥教育,9162.22,共41节
精英续航系列-精讲班：经济法基础【续航A班】,476人购买,菜子学院,876.22,进度：10/30节
幕墙结构设计训练营,013人购买,江苏轩锐教育,7.72,进度：5/5节
高一答疑解惑班数理化,2人购买,大鹏家课堂,553.22,课程3
ASP.NET就业实例教程（1）ASP.NET基础入门搭建网站开发环境,597人购买,徐照兴,52.22,共8节
产品精修+海报合成实战班/为课教育,95人购买,为课教育,5177.22,随到随学
武百分2020乡村全科执业助理医师考点精讲班,71人购买,武百分教育,476.22,共38节
5D3摄影入门到精通,2人购买,FUN视觉  雷波,876.22,课程22
立体裁剪+平面制版 /平立一体互通打版进修课程（艺服教育）,862人购买,艺服教育,9776.22,随到随学
【北京峰源】土建造价实战班,5932人购买,峰源教育,3377.22,随到随学
【思睿电商】 2020年终冲刺班,014人购买,思睿电商学院,8162.22,进度：17/25节
【VIP-2年】付款链接 快速打造店铺爆款，营销最新玩法【齐论】,501人购买,齐论京东学院,4976.22,随到随学
原画人零基础入门15期【苗苗】,036人购买,原画人在线学院,272.22,随到随学
2020给排水专业真题精粹飞跃班,3269人购买,张工教育,3162.22,2020-7-6开讲
【火焱社拼多多】拼多多实战运营实战课程零基础打造爆款VIP升级,9人购买,火焱社拼多多商学院,8922.22,进度：12/12节
【智能社】ES6精讲—ECMAscript6精通系列（基础篇）,5500人购买,【智能社】在线课堂,2.52,共6节
2020省考旗舰班,07人购买,晴教育,3762.22,课程15
高二数学同步精讲,7人购买,北京跨学网教育科技有限公司,547.22,课程3
武百分2020执业/助理医师资格考试心血管系统考点精讲,5714人购买,武百分教育,47.22,共12节
Java分布式电影预告小程序后台实战项目【鲁班学院】,11人购买,鲁班学院,5362.22,共21节
2020年初级会计师2科目协议通关【VIP全程私教辅导每日计划任务】,5358人购买,瑞云学堂,877.22,共72节
中级经济法通关保障B,587人购买,菜子学院,5362.22,课程5
二级机电备考合集,2人购买,筑城网校,5376.22,课程10
摄影后期进阶实战班,5236人购买,光影学院,8362.22,随到随学
python全栈自动化测试工程师第12-27期【柠檬班VIP】,5799人购买,柠檬班,1462.22,随到随学
亚马逊金宝贝孵化班,2人购买,百聚汇商学院,57622.0,课程2
原画人3D辅助美宣2期【李睿】,512人购买,原画人在线学院,1762.22,进度：9/13节
二级结构备考合集,2人购买,筑城网校,5376.22,课程9
武百分2020执业/助理医师资格考试儿科疾病考点精讲,3234人购买,武百分教育,77.22,共16节
高级女装制版全套深造技术--VIP二班级【艺服在线教学】,719人购买,艺服教育,3777.22,随到随学
智源教育SVIP专享-电商美工实战特训【飞速跨越孵化班】,1601人购买,智源教育学院,3162.22,共14节
【VIP】商业插画系统课程【板绘】,5796人购买,合尚教育,8362.22,进度：4/30节
JAVA实战班体验课【软谋教育】,89人购买,软谋教育,5.22,进度：1/1节
大暑教育2020全新VIP实战课程,5万人购买,大暑电商学院,8162.22,共6节
原画人插画基础8期【时若可止、二戈】,038人购买,原画人在线学院,3772.22,随到随学
二级建筑备考合集,2人购买,筑城网校,5376.22,课程10
消防安全技术实务精讲,1506人购买,不惑教育,677.22,进度：11/59节
UG产品+模具全科班,5人购买,学呀教育.,6666.22,课程5
HTML5前端+全栈从基础到就业班,35人购买,黄埔课堂,5776.22,课程43
性能优化特训营,5335人购买,六星教育,772.22,进度：3/5节
