course_name,course_organization,course_number,price,course_status
2020软考--网络工程师-上午历年真题解析视频（第三期）,小任老师,共156节,99.0,167
数据产品经理求职攻略，老师带你破解面试关键点,起点学院,共1节,免费,159
如何构建数据产品经理的业务、数据、产品能力三角,起点学院,共1节,免费,227
web前端学习之Javascript/js零基础到经典实战【软谋教育】,软谋教育,共4节,免费,154
Web前端全栈HTML5+大神之路,扣丁学堂,随到随学,5200.0,200
技术转产品，技术思维是阻力还是助力？,起点学院,共1节,免费,142
信息系统项目管理师-应试宝典,清哥好课堂,课程5,798.0,0
超值赠送课：高级产品经理教你做好项目管理工作,起点学院,共3节,免费,185
spring aop底层实现asm剖析【图灵学院】,图灵学院,共4节,免费,95
原阿里运营总监：运营3大核心思维,起点学院,已结束,免费,112
前端精英班十九期,京程一灯,课程2,15800.0,2
美团架构师解密千万级高并发红包系统架构,图灵学院,共5节,免费,81
CCNA网络精品课之IP地址,新盟教育,共1节,免费,33
全网独家iOS自动化测试实战,柠檬班,共67节,8.0,1026
Java互联网架构师,逻辑教育,共10节,免费,44
思科全套模拟器讲解 思科认证网络工程师 CCNA/CCNP/CCIE,新盟教育,共3节,免费,46
Kali安全渗透+Web白帽子高级工程师+黑客攻防-腾讯课堂认证课程,学神IT教育,共24节,6390.0,235
华为认证HCIA初级网络工程师（蔡老师带你从零开始学网络工程师）,北京华尔思网络实验室,进度：15/17节,免费,78
Python开发/自动化/网络爬虫/运维/从入门到精通【动脑学院】,动脑学院,共24节,免费,191
剑指Offer-ACM大牛带你玩转数据结构与算法,图灵学院,进度：24/24节,1990.0,967
Jmeter高级性能测试实战课程发布会,松勤软件测试,共2节,免费,92
解密区块链核心密码学,图灵学院,共5节,免费,56
Java分布式电影预告小程序后台,享学课堂,共22节,588.0,90
Redis高并发分布式锁~Redisson框架实现分布式锁【图灵学院】,图灵学院,共4节,免费,78
太阁ccna/hcia+ccnp/hcip周作业讲解,太阁IT认证中心,共5节,免费,76
【自兴AI】人工智能实战进阶班,自兴Ai,共62节,9180.0,67
深入虚拟机底层分析synchronized【图灵学院】,图灵学院,共4节,免费,70
SEO网站优化SEO网赚|熊掌号|网站建设|快速排名|网络推广网络营销,魔贝课凡,共6节,免费,579
全网最全最细Fiddler抓包工具，没有之一【柠檬班】,柠檬班,共25节,0.02,3193
CCNA小白入门之七分钟小视频【第二季】,新盟教育,共4节,免费,5
Linux运维及云计算年薪30W入门经典教程【马哥亲讲】,马哥教育,共32节,免费,377
Java分布式互联网架构/微服务/高性能/springboot/springcloud,拓薪教育,共103节,3999.0,20
CCNA网络精品课之IPV6+tunnel,新盟教育,共1节,免费,15
C#/.Net从入门到实战(MVC/Winform/Sql/WPF/Ado.Net/WCF/零基础),软谋教育,共40节,免费,96
十八期前端全栈精英班,京程一灯,课程2,15760.0,36
Web前端高级 html5/css3/javascript/vue/react/node/es6/webpack,软谋教育,共2节,免费,412
掌控安全/kali/黑客信息安全/网络安全/渗透/linux/编程语言/架构,掌控安全学院,共2节,免费,211
Python全栈开发/爬虫/人工智能/机器学习/数据分析【千锋教育】,扣丁学堂,随到随学,7280.0,104
Zookeeper读写锁实现~关于分布式锁的概念剖析【图灵学院】,图灵学院,共4节,免费,75
CCNA网络精品课之VLAN,新盟教育,共1节,免费,33
2020软考--系统集成项目管理工程师-基础知识(上) 视频课程,小任老师,共29节,199.0,682
