course_link,course_name,course_number,course_organization,course_price,course_status
//ke.qq.com/course/397629#term_id=100502595,HTML+CSS Web前端开发工程师快速入门必备课程【咕泡】,315人最近报名,咕泡教育,免费,共11节
//ke.qq.com/course/225186#term_id=100502595,10年经验 康sir - 8天学会实战型CCNA课程/CCNP/CCIE,163人最近报名,新盟教育,免费,共36节
//ke.qq.com/course/369468,2020软考-信息系统项目管理师-免费视频课,356人最近报名,小任老师,免费,共10节
//ke.qq.com/course/261547,自媒体运营|新媒体运营|微信公众号大鱼号百家号企鹅号今日头条号,5万人最近报名,微客教育,免费,共4节
//ke.qq.com/course/143162,Python自动化开发实战课程(基础篇)-【马哥教育】,027人最近报名,马哥教育,免费,共75节
//ke.qq.com/course/455909,全面详解并实操SoapUI接口测试实战课程【柠檬班】,564人购买,,¥2.23,共13节
//ke.qq.com/course/465553,2019最新版从零开始学MT4平台MQL4语言编程第2阶段,83人最近报名,漆学军,免费,共4节
//ke.qq.com/course/301616,C#/.NET上位机软件开发VIP体验课【资料获取加QQ：995551858】,800人最近报名,,免费,共28节
//ke.qq.com/course/377929,Linux云计算架构班【包含集群+Jenkins+K8S+OpenStack+Python】,71人购买,,¥7362.22,2020-4-1开讲
//ke.qq.com/course/410852,Web安全工程师之攻防实验室搭建,50人最近报名,拼客学院,免费,共1节
//ke.qq.com/course/451126,C/C++ 零基到大神精讲(C++17最新标准/游戏编程/项目实战),5404人最近报名,易道云学院,免费,共16节
//ke.qq.com/course/28986,.NET/C#架构师/高级开发/Core/微服务/分布式/高并发【软谋教育】,5064人最近报名,,免费,共3节
//ke.qq.com/course/369487,2020软考--网络工程师-免费视频课程,352人最近报名,小任老师,免费,共15节
//ke.qq.com/course/436711,Mysql底层原理与性能调优【图灵学院】,040人最近报名,,免费,共4节
//ke.qq.com/course/461170,CRMEB门店设置与核销,530人最近报名,鲁冬明,免费,共1节
//ke.qq.com/course/313277,java全栈自动化第7-17期（web自动化＋接口自动化+app自动化）,469人购买,,¥1822.22,开设9个班级
//ke.qq.com/course/204383,【超级数学建模|公开课】Python机器学习—泰坦尼克号获救预测,64人最近报名,数锐科技,免费,共4节
//ke.qq.com/course/367596,【Atstudy】软件测试/性能/接口/压力/自动化测试 从入门到精通,463人最近报名,博为峰网校在线教育,免费,共21节
//ke.qq.com/course/235316,【松勤】软件测试0基础到项目实战系统学习全栈班,5267人购买,,¥4162.22,共149节
//ke.qq.com/course/468501,CRMEB小程序分包处理,12人最近报名,鲁冬明,免费,共1节
//ke.qq.com/course/7034,C#/.NET大数据高并发架构设计/.NET构架师【软谋教育】,335人最近报名,,免费,共11节
//ke.qq.com/course/452038,web前端开发之React.js入门到进阶【金渡教育】,00人最近报名,金渡教育,免费,共2节
//ke.qq.com/course/package/20704,VIP课程+大咖系列课,381人购买,魔贝课凡,¥8777.22,课程10
//ke.qq.com/course/131889,【VIP限时体验】50W年薪Java高并发分布式架构课【动脑学院】,5746人最近报名,动脑学院,免费,共31节
//ke.qq.com/course/190378,Python/爬虫/人工智能/TensorFlow/机器学习/Django/图像识别,5268人最近报名,,免费,共16节
//ke.qq.com/course/package/21021,前端主管培养计划,8人购买,丰橙学院,¥9662.22,课程5
//ke.qq.com/course/450411,C#/.NET核心语法精讲【软谋教育】,312人最近报名,,免费,共6节
//ke.qq.com/course/377567,项目经理带你-零基础学习C++【奇牛学院】,5510人最近报名,奇牛学院,免费,共35节
//ke.qq.com/course/462860,JavaEE高级/javaweb/数据库/ssm框架/maven/linux,05人购买,拓薪教育,¥8777.22,共56节
//ke.qq.com/course/376467,做抖音电商|抖音短视频PR+AE|网络营销新媒体自媒体淘宝客快手,755人最近报名,魔贝课凡,免费,共6节
//ke.qq.com/course/447527,ES6标准入门与实战教程,337人最近报名,软谋教育,免费,共2节
//ke.qq.com/course/package/20989,TWeb2019线上票（含录播）,889人购买,TWeb Conf,¥577.22,课程4
//ke.qq.com/course/130901,【VIP限时体验】Android安卓架构跨平台NDK大移动端【动脑学院】,993人最近报名,动脑学院,免费,进度：33/36节
//ke.qq.com/course/455656,EF+MVC从入门到实战开发【软谋教育】,65人最近报名,,免费,共1节
//ke.qq.com/course/401843,Kali安全渗透+Web白帽子高级工程师+黑客攻防-腾讯课堂认证课程,389人购买,,¥1872.22,共24节
//ke.qq.com/course/349354,C/C++入门到精通企业级项目实战,548人最近报名,,免费,共15节
//ke.qq.com/course/412325,抖音快手短视频|电商引流带货|自媒体运营涨粉赚钱|淘宝客网赚,139人最近报名,泛学苑抖音短视频,免费,共4节
//ke.qq.com/course/356310,iOS中高级底层探究,532人最近报名,,免费,共1节
//ke.qq.com/course/353889,C语言/C++语言/数据结构算法/MFC/QT【六星教育】,748人最近报名,,免费,共19节
//ke.qq.com/course/452165,Java日志框架-SLF4J入门,310人最近报名,,免费,共1节
//ke.qq.com/course/package/22950,高薪就业+云架构师课,52人购买,学神 IT 教育,¥6122.22,课程2
//ke.qq.com/course/459141,HashMap常见面试题及解答【鲁班学院】,852人最近报名,鲁班学院,免费,共3节
//ke.qq.com/course/package/12691,SEO+谷歌SEO套餐课,51人购买,魔贝课凡,¥9777.22,课程12
//ke.qq.com/course/422645,Java开发/大数据/微服务/SpringBoot/SSM框架/mysql数据库/分布式,863人最近报名,灵犀教育,免费,共63节
